types,macrolide,tetracycline,aminoglycoside,beta-lactam,sulphonamide,phenicol,quinolone,trimethoprim,rifampicin,fosfomycin,oxazolidinone,nitroimidazole
D1,0.715150508,0.66257428,0.474826057,0.376954142,0.274087619,0.265357886,0.134703961,0.134557398,0.025273487,0.002841549,0,0
D2,1.043137332,0.681332231,0.327941104,0.066897384,0.012464542,0.022547053,0.007616352,0.007937082,0,0,0,0
D4,0.503098661,1.108453071,1.183442273,0.512809454,0.548207228,0.819621569,0.82134887,0.311329697,0.151466884,0.005027492,0.009484801,0
D5,1.041769701,0.792546225,0.192533146,0.17173886,0,0.013797693,0,0,0,0,0,0
D6,2.702102883,0.582968432,0.16436257,0.066615409,0.055014164,0.11935572,0.092689837,0.015626124,0.015267847,0,0,0
D7,0.402472418,0.63758221,0.284717845,0.25033968,0.176659372,0.135493944,0.113694565,0.080845942,0.006854418,0.202890991,0,0
D10,0.730079222,0.395913067,0.269347226,0.391836201,0.051698133,0.025232119,0,0,0,0,0,0
D11,0.337038116,0.255081084,0.055019509,0.142451092,0.002924543,0.020621165,0,0,0,0,0,0
D12,0.603464348,0.78313959,0.382750672,0.185686365,0,0.026189904,0,0,0,0,0,0
D13,0.546757528,0.384715651,0.351415868,0.249154534,0.147040776,0.053267144,0.024340148,0.029086496,0.002958389,0,0,0
D14,0.898932675,0.934636544,0.226754763,0.21372623,0.001222192,0,0.001344429,0,0,0,0,0
D15,0.551609448,0.300888006,0.061350945,0.047131439,0,0,0,0,0,0,0,0
O1,0.305554938,0.538910124,0.121955991,0.224117199,0.008920661,0,0,0,0,0,0,0
O2,0.590227475,0.069243098,0.069906999,0.011523111,0.051996366,0.071127324,0,0,0,0,0,0
O4,0.262532627,0.646049541,0.160755961,0.2948086,0.006984149,0.007629507,0.016702208,0,0,0.006086377,0,0
O5,0.539181121,0.200555299,0.106940729,0.011603891,0.00297695,0.00734334,0.016494003,0,0,0.010440591,0,0
O6,1.634211696,0.695607465,0.131674289,0.458556855,0.009266494,0.026747524,0,0,0,0,0,0
O7,0.515183859,0.235853285,0.068240062,0.04791014,0,0.026456842,0,0,0,0,0,0
O10,0.446557132,0.562277794,0.038156059,0.264024634,0,0,0.011289069,0,0,0.005261454,0,0.322435587
O11,0.234557822,0.386992429,0.056390522,0.12694213,0.005958565,0.031288547,0,0,0,0,0,0
O12,0.237677634,1.036106051,0.097751234,0.163153172,0.001925115,0.014849511,0,0,0,0,0,0
O13,0.461975092,0.441287775,0.051923701,0.076950109,0.101204923,0.00772219,0,0,0,0,0,0
O14,0.312290825,0.733281706,0.128491047,0.062585806,0,0.013839981,0.001485495,0,0,0.001000818,0,0
O15,0.576628778,0.265845104,0.050780595,0.023128734,0,0.018283276,0,0,0,0.000891499,0,0
