ID,Bacteroidaceae,Enterobacteriaceae,Veillonellaceae,Lachnospiraceae,Prevotellaceae,Eubacteriaceae,Peptostreptococcaceae,Ruminococcaceae,Coriobacteriaceae,Bifidobacteriaceae,Fusobacteriaceae,Clostridiaceae,Streptococcaceae,Rikenellaceae,Porphyromonadaceae,Desulfovibrionaceae,Erysipelotrichaceae,Podoviridae,Sutterellaceae,Helicobacteraceae,Campylobacteraceae,Pasteurellaceae,Enterococcaceae,Lactobacillaceae,Oscillospiraceae,Acidaminococcaceae,Leuconostocaceae,Methanobacteriaceae,Clostridiales_noname,Bacillaceae,Bacteroidales_noname,Siphoviridae,Pseudomonadaceae,Oxalobacteraceae,Burkholderiales_noname,Inoviridae,Xanthomonadaceae,Caulobacteraceae,Alcaligenaceae,Planococcaceae,Dermabacteraceae,Verrucomicrobiaceae,Flavobacteriaceae,Micrococcaceae,Actinomycetaceae,Succinivibrionaceae,Viruses_noname,Comamonadaceae,Carnobacteriaceae,Bacillales_noname,Moraxellaceae,Saccharomycetales_noname,Staphylococcaceae,Saccharomycetaceae,Leptotrichiaceae,Aeromonadaceae,Candidatus_Saccharibacteria_noname,Propionibacteriaceae,Neisseriaceae,Sphingobacteriaceae,Brachyspiraceae,Nocardiaceae,Clostridiales_Family_XI_Incertae_Sedis,Corynebacteriaceae,Deinococcaceae,Brevibacteriaceae,Clostridiales_Family_XIII_Incertae_Sedis,Dietziaceae,Brucellaceae,Nocardioidaceae,Acetobacteraceae
D1,32.6881,47.7581,0,1.61644,0.01973,0,0.2009,0,3.97702,0,0.07039,1.06749,1.09603,0,0,0,0.16903,0,0,1.61993,0.59696,0,4.60007,1.17873,0,0,3.175,0,0.00088,0,0,0.08984,0.00948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953,0.03614,0,0.01341,0.00681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2,8.68193,3.34366,0,20.50129,0,0,16.84538,0.13716,29.17502,14.68205,0,2.10725,0.87107,0,0,0,0.14551,0,0.11423,1.11209,0,0,0.04364,1.49584,0,0,0,0,0.03429,0,0,0.00344,0.16151,0,0,0,0.20739,0.12733,0.13431,0,0,0,0,0,0.00607,0,0,0.05008,0,0,0.01002,0,0,0,0,0,0,0.00661,0,0,0,0,0,0,0,0,0,0,0.00285,0,0
D4,10.32019,68.90448,1.61831,1.08437,0,0,0.02731,0.00641,0.22286,0,0,0.03808,0.00698,0,0,0,0.10458,17.26406,0,0.10617,0,0,0.19659,0,0,0,0,0,0.00393,0.09566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D5,7.65242,0.04042,5.11578,4.52236,0,0,69.12047,0.30223,6.06908,0,0.2179,0.02511,0,0,0,0,1.163,0,2.82227,2.91412,0,0,0,0,0,0.00046,0,0,0.03436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6,0.27794,36.54811,23.26569,2.85363,0,0,7.22364,0.01014,0.17578,0,21.64117,0.42687,5.6741,0,0,0,0.07525,1.25581,0.01443,0.03143,0.00406,0,0.33541,0.01456,0,0,0.00477,0,0,0.15465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463,0,0,0,0,0,0,0,0,0,0.00619,0,0,0.00173,0,0,0,0,0,0,0
D7,0.04636,86.53678,1.00719,0.53483,0,0,6.97623,0.00383,0.84492,0,0,1.07896,0.00564,0,0,0,0.83578,0,0.03049,0.07866,0.01212,0,1.49083,0,0,0,0.01125,0,0,0.00329,0,0.2031,0.0933,0,0,0,0,0,0,0.20237,0,0,0,0,0,0,0,0,0,0,0.00219,0,0,0,0.00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,6.73198,1.22803,36.07187,0.78832,40.61734,0,4.13077,0.49316,1.52559,0.03175,0,0.01995,0.04937,0.00167,0.23623,0.03067,0.62439,0,5.68032,0.56904,0,0,0,0.03332,0.73281,0.01592,0,0,0.01512,0,0,0.36412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,24.89971,1.66136,27.68779,2.4354,12.88419,3.20529,1.28759,7.45771,1.51703,8.55967,0,0.26857,0.20708,1.32355,1.06285,1.96361,1.30945,0,0.0764,0,0,0.00034,0,1.03484,0.56668,0.0892,0,0,0.05654,0,0.1012,0,0,0.16156,0.00077,0.18161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D12,35.25403,0.00506,10.9577,7.08609,0.03362,0,25.00742,0.13831,11.50873,0,2.96316,0.0772,0.02333,0,0.02578,0.01365,0.20043,0,0,0.23171,5.77084,0,0,0.38677,0,0,0,0,0.30707,0,0,0,0.00909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D13,6.76326,14.78334,3.93746,1.09079,56.66799,0,3.50248,0.71491,2.76929,0,0,5.48052,0.06795,0,0.10954,0,0.6996,0.11874,0.63801,2.25232,0.22803,0,0.00134,0,0.00696,0,0,0,0.08198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07813,0,0,0,0,0,0,0,0.00736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
