ARG,tet(Q),erm(B),lnu(C),mef(A),erm(F),tet(40),msr(D),tet(A),tetA(P),aac(6')-aph(2''),tet(W),blaOXA-85,ant(6)-Ia,sul2,cfxA6,tet(L),erm(Q),cfxA5,tetB(P),floR,cfxA3,vat(E),tet(M),aph(2'')-If,blaOXA-347,cmlA1,aadA1,erm(G),aph(3')-Ia,tet(X),tet(32),qnrS1,lnu(P),mdf(A),aph(3')-III,aph(6)-Id,aph(3'')-Ib,blaTEM-1B,erm(X),oqxA,sul1,tet(O),erm(T),oqxB,catS,tet(B),cat,mph(A),tet(44),tet(G),aph(2'')-Ib,aac(3)-IId,aadA5,aac(6')-Im,blaACI-1,cat(pC194),fosA6,fosA,ant(2'')-Ia,blaCTX-M-14,mph(N)
D1,0,0.006808548,0,0.206886799,0,0.024506228,0.215520613,0.407733876,0.145260073,0,0.022569782,0,0.006320356,0.165119759,0.224340191,0.037066459,0.00175235,0,0.007252793,0.173379326,0,0,0,0.004095958,0,0.089288929,0.087849293,0.161606169,0.057211446,0,0,0.078299441,0.005417575,0,0,0.10238764,0.092156824,0.133955969,0,0.031538615,0.037210671,0,0,0,0,0.003727974,0.002689631,0.078385425,0,0,0,0.011520978,0.030215275,0,0,0,0,0.002841549,0,0,0
D2,0,0.072863999,0.067518197,0.384366939,0.012744262,0.359929392,0.332474608,0.011888841,0.097212514,0.050089988,0.102087754,0.004676064,0.14862007,0.008732854,0,0.006500085,0.134285591,0,0.103713645,0.011842568,0.047919126,0,0,0.022288073,0,0.009467233,0,0.002818392,0.001909359,0,0,0,0.005495254,0.004067114,0.067234299,0.006757825,0.006584032,0,0.021405366,0,0.003731687,0,0.003527315,0,0,0,0,0,0,0,0.004394837,0,0,0.005914831,0,0,0,0,0,0,0
D4,0.165991105,0,0.028402326,0.110799621,0.205416621,0.041049318,0.040713589,0.516093378,0.101108775,0.004319938,0.027069905,0.016888711,0.005292097,0.157175348,0,0.016927477,0.002502637,0,0,0.340828495,0.10091395,0,0.128855987,0,0,0.288910475,0.283621832,0,0.257594146,0,0,0.139547789,0,0,0.022934642,0.103763829,0.094419789,0,0,0.125774782,0.113453012,0.05996773,0,0.122817226,0,0.038350314,0.020235911,0.00615202,0,0,0.003052423,0,0.001430404,0.003389229,0,0,0.002867243,0,0,0,0
D5,0.246080747,0,0.249598924,0.464524663,0.021953414,0.256446313,0.122962835,0,0.123926864,0.154857274,0,0.152621181,0.030129984,0,0,0,0.182729865,0.019117679,0.130844369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007545888,0,0,0,0,0,0,0,0,0,0,0,0.013797693,0,0.013077871,0.022170061,0,0,0,0,0,0,0,0,0,0,0
D6,0.019785099,1.115120955,0.452452573,0.188804702,0.002529254,0.046049104,0.171627072,0.069698839,0.105618017,0.060097014,0.11664402,0,0.034336565,0.031807697,0,0.163550506,0.128693263,0,0.058496321,0.0470744,0.021487899,0.327418795,0,0,0,0.018094224,0.017838744,0.002066507,0.01527411,0,0,0.033197373,0.127314368,0.089138191,0,0.007265676,0,0.028937153,0,0.009607294,0.008867202,0,0.090160645,0.013065642,0,0.003126526,0.03875312,0,0,0,0.001351722,0,0,0.000692971,0,0,0,0,0.001441932,0,0
D7,0.039055586,0.009996191,0.076159221,0.0730983,0.006171925,0.051049434,0.045196155,0.148851909,0.136601094,0.008945338,0.027526966,0.202890991,0,0.166237482,0,0,0.138717831,0.037320055,0,0.120168046,0,0,0.088682114,0.066004678,0,0.013033132,0.011599337,0,0.014642055,0,0.009718652,0.070603171,0.003110315,0,0,0.038040683,0.030225883,0,0,0.010630369,0.002346408,0.09079318,0,0.013888173,0,0,0,0.008013458,0.004395146,0,0,0.008075482,0.006312512,0,0,0,0,0,0,0,0
D10,0,0.033758756,0.37621676,0.120686095,0.05557108,0.032441415,0.061849417,0.083392461,0.02178298,0.103955614,0,0.024594548,0.101704478,0.04914206,0.352332373,0.07814404,0.025759922,0,0.02591186,0,0,0,0.087935004,0.017230464,0,0,0,0.051147613,0.003057901,0.040026155,0,0,0,0,0.007743276,0,0.00285777,0,0,0,0.002556072,0,0,0,0,0.003302598,0.025232119,0.00508958,0,0.022976553,0.010841585,0.006407187,0,0.009116015,0.001479641,0,0,0,0,0.003220155,0
D11,0,0.042233046,0.239585502,0.022949894,0,0.023809063,0.020958115,0,0.011834763,0.015455246,0.130109138,0,0.018439624,0,0,0.044528877,0.004790532,0.080709293,0.011640675,0,0,0,0.006200943,0,0.057899604,0,0,0,0,0.017607659,0,0,0,0.004440003,0,0,0,0,0,0,0.002924543,0,0,0,0.020621165,0,0,0.002081025,0.009349968,0,0.009788158,0.002896,0.002004556,0.006435926,0,0,0,0,0,0,0
D12,0.305554701,0.004925421,0.187247766,0.157444118,0.120462482,0.11170662,0.133384562,0,0.118307145,0.050912896,0.082758636,0.048083088,0.046556648,0,0,0.037950903,0,0,0.126861586,0,0.137603277,0,0,0.23757403,0,0,0,0,0,0,0,0,0,0,0.021080025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002411794,0,0,0.001142329,0,0.026189904,0,0,0,0,0
D13,0,0.012876764,0.086605912,0,0.19590783,0,0.044810553,0.047088775,0.079545276,0.070900109,0,0.07205567,0.057119115,0.122296592,0.024229253,0.002740628,0,0.082815205,0.034903519,0.034750297,0,0,0,0.04301077,0,0.016074906,0.018719768,0.162844484,0.012462737,0.164237916,0.027139556,0.018914737,0.007177746,0.021362164,0.036615242,0.020479401,0.01983537,0.0482944,0,0.001455207,0.013013075,0,0,0,0,0.010470018,0.000908292,0.003639483,0.018589961,0,0.003472397,0.017498063,0,0.002409735,0.012579005,0,0,0,0.003892986,0,0.003307894
